"DOWN","YTG","FIELD_LOC","FIRST_DOWN_PCT","SNAPS"
3,24,"My 40 to your 40",15.5,58
3,24,"My Goal to my 19",4.3,69
3,24,"Your 39 to your 20",15,40
3,25,"My 20 to my 39",12.6,87
3,25,"My 40 to your 40",5.6,72
3,25,"My Goal to my 19",9.1,55
3,25,"Your 39 to your 20",11.4,35
3,26,"My 20 to my 39",2.3,44
3,26,"My 40 to your 40",12.5,24
3,26,"My Goal to my 19",2.6,39
3,26,"Your 39 to your 20",25,24
3,27,"My 20 to my 39",2.9,35
3,27,"My 40 to your 40",5.3,19
3,27,"My Goal to my 19",5.9,34
3,27,"Your 39 to your 20",18.8,16
3,28,"My 20 to my 39",10,30
3,28,"My 40 to your 40",12.1,33
3,28,"My Goal to my 19",3.4,29
3,28,"Your 39 to your 20",0,12
3,29,"My 20 to my 39",6.3,16
3,29,"My 40 to your 40",6.7,15
3,29,"My Goal to my 19",5.3,19
3,29,"Your 39 to your 20",25,8
3,30,"My 20 to my 39",0,13
3,30,"My 40 to your 40",16.7,18
3,30,"My Goal to my 19",16.7,12
3,30,"Your 39 to your 20",0,5
3,31,"My 20 to my 39",0,6
3,31,"My 40 to your 40",10,10
3,31,"My Goal to my 19",0,15
3,31,"Your 39 to your 20",0,2
3,32,"My 20 to my 39",0,7
3,32,"My 40 to your 40",0,6
3,32,"My Goal to my 19",0,10
3,32,"Your 39 to your 20",0,2
3,33,"My 20 to my 39",0,13
3,33,"My 40 to your 40",0,5
3,33,"My Goal to my 19",0,7
3,33,"Your 39 to your 20",0,2
3,34,"My 20 to my 39",0,4
3,34,"My 40 to your 40",0,4
3,34,"My Goal to my 19",50,4
3,35,"My 20 to my 39",0,5
3,35,"My 40 to your 40",0,3
3,35,"My Goal to my 19",0,5
3,35,"Your 39 to your 20",0,2
3,36,"My Goal to my 19",0,1
3,36,"Your 39 to your 20",0,1
3,37,"My 20 to my 39",0,3
3,37,"My 40 to your 40",0,2
3,37,"My Goal to my 19",0,1
3,38,"My 20 to my 39",0,2
3,38,"My 40 to your 40",0,1
3,38,"My Goal to my 19",0,5
3,39,"My 20 to my 39",100,1
3,39,"My 40 to your 40",0,2
3,39,"My Goal to my 19",0,1
3,40,"My 40 to your 40",0,3
3,40,"My Goal to my 19",0,2
3,41,"My 20 to my 39",0,1
3,41,"My 40 to your 40",0,1
3,42,"My 20 to my 39",0,1
3,42,"My 40 to your 40",0,1
3,42,"My Goal to my 19",0,1
3,43,"My Goal to my 19",0,1
3,44,"My 20 to my 39",0,2
3,47,"My 20 to my 39",0,1
3,49,"My Goal to my 19",0,2
3,57,"My 20 to my 39",0,1
4,1,"My 20 to my 39",74.8,401
4,1,"My 40 to your 40",71.2,1188
4,1,"My Goal to my 19",63.2,19
4,1,"Your 19 to your Goal",66.4,1317
4,1,"Your 39 to your 20",70,1385
4,2,"My 20 to my 39",57.1,112
4,2,"My 40 to your 40",60.8,370
4,2,"My Goal to my 19",50,6
4,2,"Your 19 to your Goal",52.9,376
4,2,"Your 39 to your 20",57.9,663
4,3,"My 20 to my 39",47.2,89
4,3,"My 40 to your 40",48.6,282
4,3,"My Goal to my 19",44.4,9
4,3,"Your 19 to your Goal",48.1,233
4,3,"Your 39 to your 20",49.6,536
4,4,"My 20 to my 39",48.5,66
4,4,"My 40 to your 40",40.3,191
4,4,"My Goal to my 19",11.1,9
4,4,"Your 19 to your Goal",43.1,174
4,4,"Your 39 to your 20",46.9,437
4,5,"My 20 to my 39",43.9,66
4,5,"My 40 to your 40",46.1,167
4,5,"My Goal to my 19",55.6,9
4,5,"Your 19 to your Goal",36.4,143
4,5,"Your 39 to your 20",39.8,352
4,6,"My 20 to my 39",41.4,70
4,6,"My 40 to your 40",37.9,145
4,6,"My Goal to my 19",33.3,12
4,6,"Your 19 to your Goal",36.3,102
4,6,"Your 39 to your 20",39.2,293
4,7,"My 20 to my 39",34,47
4,7,"My 40 to your 40",40.9,110
4,7,"My Goal to my 19",50,8
4,7,"Your 19 to your Goal",22.2,72
4,7,"Your 39 to your 20",33.9,245
4,8,"My 20 to my 39",42.6,47
4,8,"My 40 to your 40",29.4,85
4,8,"My Goal to my 19",16.7,6
4,8,"Your 19 to your Goal",26.1,69
4,8,"Your 39 to your 20",30.3,201
4,9,"My 20 to my 39",40,40
4,9,"My 40 to your 40",30.6,72
4,9,"My Goal to my 19",16.7,6
4,9,"Your 19 to your Goal",26.7,45
4,9,"Your 39 to your 20",38.9,162
4,10,"My 20 to my 39",31.6,95
4,10,"My 40 to your 40",33.9,183
4,10,"My Goal to my 19",21.1,19
4,10,"Your 19 to your Goal",18.8,64
4,10,"Your 39 to your 20",30.5,239
4,11,"My 20 to my 39",39.1,23
4,11,"My 40 to your 40",29.8,47
4,11,"My Goal to my 19",36.4,11
4,11,"Your 19 to your Goal",31.6,19
4,11,"Your 39 to your 20",26,96
4,12,"My 20 to my 39",15,20
4,12,"My 40 to your 40",18.4,38
4,12,"My Goal to my 19",20,5
4,12,"Your 19 to your Goal",38.9,18
4,12,"Your 39 to your 20",27.8,79
4,13,"My 20 to my 39",41.2,17
4,13,"My 40 to your 40",7.4,27
4,13,"My Goal to my 19",20,5
4,13,"Your 19 to your Goal",15,20
4,13,"Your 39 to your 20",29.3,58
4,14,"My 20 to my 39",6.3,16
4,14,"My 40 to your 40",23.8,21
4,14,"My Goal to my 19",0,1
4,14,"Your 19 to your Goal",10,10
4,14,"Your 39 to your 20",30,50
4,15,"My 20 to my 39",22.7,22
4,15,"My 40 to your 40",27.3,33
4,15,"My Goal to my 19",40,10
4,15,"Your 19 to your Goal",33.3,6
4,15,"Your 39 to your 20",18.9,37
4,16,"My 20 to my 39",16.7,12
4,16,"My 40 to your 40",20,15
4,16,"My Goal to my 19",20,10
4,16,"Your 19 to your Goal",20,5
4,16,"Your 39 to your 20",9.1,33
4,17,"My 20 to my 39",25,16
4,17,"My 40 to your 40",15.4,26
4,17,"My Goal to my 19",10,10
4,17,"Your 19 to your Goal",25,8
4,17,"Your 39 to your 20",11.1,18
4,18,"My 20 to my 39",30.8,13
4,18,"My 40 to your 40",40,10
4,18,"My Goal to my 19",0,3
4,18,"Your 19 to your Goal",0,5
4,18,"Your 39 to your 20",0,22
4,19,"My 20 to my 39",20,5
4,19,"My 40 to your 40",0,14
4,19,"My Goal to my 19",0,1
4,19,"Your 39 to your 20",20,20
4,20,"My 20 to my 39",25,8
4,20,"My 40 to your 40",0,7
4,20,"My Goal to my 19",0,6
4,20,"Your 39 to your 20",12.5,16
4,21,"My 20 to my 39",14.3,7
4,21,"My 40 to your 40",0,11
4,21,"My Goal to my 19",0,7
4,21,"Your 39 to your 20",23.1,13
4,22,"My 20 to my 39",0,2
4,22,"My 40 to your 40",30,10
4,22,"My Goal to my 19",0,3
4,22,"Your 39 to your 20",22.2,9
4,23,"My 20 to my 39",0,1
4,23,"My 40 to your 40",0,7
4,23,"My Goal to my 19",0,1
4,23,"Your 39 to your 20",0,8
4,24,"My 20 to my 39",16.7,6
4,24,"My 40 to your 40",0,3
4,24,"Your 39 to your 20",0,3
4,25,"My 20 to my 39",0,9
4,25,"My 40 to your 40",0,3
4,25,"Your 39 to your 20",0,3
4,26,"My 20 to my 39",0,1
4,26,"My 40 to your 40",28.6,7
4,26,"Your 39 to your 20",0,2
4,27,"My 20 to my 39",0,2
4,27,"Your 39 to your 20",0,3
4,28,"My 20 to my 39",0,2
4,28,"My 40 to your 40",0,2
4,28,"My Goal to my 19",0,4
4,28,"Your 39 to your 20",0,3
4,29,"My 20 to my 39",0,2
4,29,"My 40 to your 40",0,2
4,29,"Your 39 to your 20",0,1
4,30,"My 20 to my 39",0,1
4,30,"My 40 to your 40",0,1
4,30,"My Goal to my 19",0,1
4,31,"My 40 to your 40",0,1
4,32,"My 40 to your 40",0,1
4,32,"Your 39 to your 20",0,1
4,34,"My Goal to my 19",0,1
4,34,"Your 39 to your 20",0,1
4,35,"My 20 to my 39",0,1
4,36,"My 20 to my 39",0,1
4,39,"My 20 to my 39",0,1
4,39,"My Goal to my 19",0,1
4,40,"My Goal to my 19",0,1
,,"My 20 to my 39",0,1
,,"Your 39 to your 20",0,1
