"YTG_START","QTR_START","T_ELAPSED","TOT_YDS","FIRST_DOWNS","NPLAYS","POINTS","PLAYS_PER_1STDOWN","FG","TD","INT","FUMBLE","BLITZ_PER_PLAY","YDS_PER_PLAY","CARRY","ATT"
50,1,46,-3,0,3,0,3,0,0,0,0,0.33,-1,0,0
78,1,385,78,5,11,7,1.8,0,1,0,0,0.09,9.55,5,10
67,3,64,0,0,3,0,3,0,0,0,0,0.67,1.67,0,1.67
89,1,86,7,0,3,0,3,0,0,0,0,0,2.33,3.5,0
79,1,49,79,1,2,7,1,0,1,0,0,0,39.5,77,2
70,1,342,66,3,10,3,2.5,1,0,0,0,0.2,7.1,5.2,11.25
64,4,61,7,0,3,0,3,0,0,0,0,0.33,2.33,7,0
90,1,249,90,5,9,7,1.5,0,1,0,0,0.22,10,7.75,11.8
68,1,193,11,1,5,0,2.5,0,0,0,0,0,2.2,4.25,0
59,2,62,-4,0,3,0,3,0,0,0,0,0,-1.33,-4,0
82,2,293,82,4,9,7,1.8,0,1,0,0,0,9.11,4.8,14.5
89,3,8,-11,0,1,0,1,0,0,0,1,0,-11,0,0
84,2,167,30,1,5,0,2.5,0,0,0,0,0.2,6,4,7.33
59,2,82,12,0,3,0,3,0,0,0,1,0.33,4,0,6
80,1,129,14,1,5,0,2.5,0,0,0,0,0.4,3.8,6.5,2
89,1,51,6,0,3,0,3,0,0,0,1,0,2,3,0
80,4,354,80,5,9,7,1.5,0,1,0,0,0.11,8.89,6.83,13
68,2,287,48,3,10,3,2.5,1,0,0,0,0.2,4.8,5.17,5.67
70,3,281,70,5,9,7,1.5,0,1,0,0,0.11,7.78,6.67,10
66,3,189,5,2,5,0,1.7,0,0,0,0,0.4,4,4.5,3.67
93,3,92,0,0,3,0,3,0,0,0,0,0,0.67,1,0
80,1,136,20,1,5,0,2.5,0,0,0,0,0.4,4,4.5,3.67
53,2,201,53,3,7,7,1.8,0,1,0,0,0.29,7.57,1,16.33
78,4,374,78,6,11,7,1.6,0,1,0,0,0.36,7.09,3.25,9.29
80,1,256,60,2,8,3,2.7,1,0,0,0,0.13,7.5,3.75,15
85,2,75,65,3,7,3,1.8,1,0,0,0,0.29,9.29,0,10.83
61,2,76,10,1,4,0,2,0,0,0,0,0,2.5,-2,4
91,2,9,15,0,1,0,1,0,0,0,1,0,15,0,15
29,4,152,5,1,6,3,3,1,0,0,0,0.17,-0.83,-0.5,3.5
60,4,49,6,0,2,0,2,0,0,0,1,0,3,-1,7
69,1,142,69,2,4,7,1.3,0,1,0,0,0,16,2,30
79,3,85,-1,0,3,0,3,0,0,0,0,0.33,-0.33,-0.5,0
80,1,46,6,0,3,0,3,0,0,0,0,0.67,2,6,0
80,1,303,60,4,11,3,2.2,1,0,0,0,0.09,5.45,8.5,5.6
65,3,170,40,2,6,3,2,1,0,0,0,0,6.67,7.25,11
80,1,85,2,0,3,0,3,0,0,0,0,0.33,0.67,2,0
45,4,169,37,2,7,3,2.3,1,0,0,0,0.14,5.14,7.5,9
60,1,94,60,2,3,7,1,0,1,0,0,0.67,20,22,16
65,1,247,65,4,10,7,2,0,1,0,0,0,6.5,4,7.57
92,3,227,31,2,8,0,2.7,0,0,0,0,0.25,4.88,5,3.8
86,1,342,85,4,10,0,2,0,0,0,0,0.2,9,2.33,11.86
80,2,98,8,0,3,0,3,0,0,0,0,0.67,2.67,4,2
73,2,97,-2,0,3,0,3,0,0,0,0,0.67,-0.67,5,0
26,4,27,-3,0,4,0,4,0,0,0,0,0,-0.75,-1,0
77,2,71,41,2,8,3,2.7,1,0,0,0,0.25,5.13,0,5.86
74,2,289,63,4,13,0,2.6,0,0,0,0,0.31,4.85,6.6,4.29
69,1,28,-5,0,3,0,3,0,0,0,0,0.33,0,0,0
23,2,96,7,0,4,3,4,1,0,0,0,0.25,8.25,1,15.5
77,2,9,0,0,1,0,1,0,0,0,1,0,0,0,0
85,2,359,85,5,11,7,1.8,0,1,0,0,0.27,7.73,4.5,9.57
64,1,151,64,3,6,7,1.5,0,1,0,0,0,10.67,-1,16.5
69,2,89,2,0,3,0,3,0,0,0,0,0,0.67,1,0
96,1,169,17,1,5,0,2.5,0,0,0,0,0,3.4,5.5,2
92,2,174,19,1,5,0,2.5,0,0,0,0,0,3.8,6,4.5
85,3,135,4,0,3,0,3,0,0,0,0,0.33,4.67,6,4
