"NAME","P1","P2","P3","P4","P5","BLITZ_PROB","YDS_PER_PLAY","COMPL_PRCNT","YDS_PER_CARRY","YDS_PER_COMP","YDS_PER_ATT"
"Nevada Wolf Pack","Total","Total","Total","Total","Total",0.19,5.3,59,5.1,10.5,6.1
"Nevada Wolf Pack","Jarred Gipson","Hasaan Henderson","Jerico Richardson","Richy Turner","James Butler",0.2,6.5,68.1,5.6,11.4,7.7
"Nevada Wolf Pack","Jarred Gipson","Jerico Richardson","Richy Turner","Don Jackson","Matt Moen",0.14,7.1,65,7.7,8.5,5.5
"Nevada Wolf Pack","Jarred Gipson","Jerico Richardson","Richy Turner","James Butler","Matt Moen",0.09,3.6,28.6,3.9,12,3.4
"New Mexico Lobos","Total","Total","Total","Total","Total",0.1,6.2,51,6.4,14,7.2
"North Carolina State Wolfpack","Total","Total","Total","Total","Total",0.19,5.7,59.9,5.4,11.8,7
"North Carolina Tar Heels","Total","Total","Total","Total","Total",0.18,5.5,62.9,4.5,11.3,7
"North Carolina Tar Heels","Jack Tabb","Quinshad Davis","Mack Hollins","T.J. Logan","Ryan Switzer",0.16,5.1,59.6,4.7,10.1,6
"Northwestern Wildcats","Kyle Prater","Tony Jones","Miles Shuler","Dan Vitale","Justin Jackson",0.23,3.4,54.2,3.5,7.9,4.1
"Northwestern Wildcats","Total","Total","Total","Total","Total",0.15,4.4,57.9,3.6,10,5.7
"Northwestern Wildcats","Kyle Prater","Tony Jones","Cameron Dickerson","Dan Vitale","Justin Jackson",0.11,3.8,67.4,1.6,8.8,5.9
"Notre Dame Fighting Irish","Ben Koyack","Chris Brown","C.J. Prosise","Tarean Folston","William Fuller",0.32,6.2,63.3,4.1,14.1,8.6
"Notre Dame Fighting Irish","Ben Koyack","C.J. Prosise","Corey Robinson","Tarean Folston","William Fuller",0.36,5.5,64.5,4,11.8,7.5
"Notre Dame Fighting Irish","Cam McDaniel","Ben Koyack","Chris Brown","C.J. Prosise","William Fuller",0.17,7,67.9,4.3,16.5,10.8
"Notre Dame Fighting Irish","Cam McDaniel","Ben Koyack","C.J. Prosise","Corey Robinson","William Fuller",0.43,5.7,73.5,3.1,12.2,8.4
"Notre Dame Fighting Irish","Amir Carlisle","Ben Koyack","Chris Brown","Tarean Folston","William Fuller",0.26,5.8,68.8,4.9,11.7,7.6
"Notre Dame Fighting Irish","Amir Carlisle","Ben Koyack","Corey Robinson","Tarean Folston","William Fuller",0.25,5.7,54.2,5.6,13,6.9
"Notre Dame Fighting Irish","Amir Carlisle","Cam McDaniel","Ben Koyack","Corey Robinson","William Fuller",0.27,4.4,51.4,2.8,12,5.7
"Notre Dame Fighting Irish","Total","Total","Total","Total","Total",0.27,5.9,62,4.6,13.4,8
"Ohio State Buckeyes","Jeff Heuerman","Evan Spencer","Michael Thomas","Ezekiel Elliott","Dontre Wilson",0.21,5.8,52.4,6.6,9.5,5
"Ohio State Buckeyes","Jeff Heuerman","Evan Spencer","Michael Thomas","Jalin Marshall","Ezekiel Elliott",0.18,7.9,72.4,7.5,13.8,9.3
