REBOUNDER,WIN_LOSS,X,Y
Iman Shumpert,W,25.43607,37.91555
Iman Shumpert,W,3.68177,49.55251
Matthew Dellavedova,W,13.91324,33.34739
LeBron James,W,18.15486,46.23035
Timofey Mozgov,W,3.79155,24.27158
Timofey Mozgov,W,24.24484,42.93019
Timofey Mozgov,W,26.70548,10.86814
Tristan Thompson,W,19.87225,40.21091
Timofey Mozgov,W,24.13451,19.80758
Kyrie Irving,W,28.72462,33.8851
Kyrie Irving,W,8.59012,22.39015
J.R. Smith,W,18.87026,4.1978
Kevin Love,W,23.01619,7.80349
Tristan Thompson,W,30.74061,21.16019
Tristan Thompson,W,13.9652,22.02522
Matthew Dellavedova,W,27.76056,26.91258
Timofey Mozgov,W,11.40445,11.16589
Timofey Mozgov,W,15.09169,23.07719
J.R. Smith,W,3.56739,1.98493
Tristan Thompson,W,28.89052,16.7926
Tristan Thompson,W,7.11734,23.06747
Iman Shumpert,W,22.96791,39.4914
LeBron James,W,12.81664,47.21239
Tristan Thompson,W,9.57381,26.48928
Kyrie Irving,W,27.21359,10.14967
Timofey Mozgov,W,11.80493,24.01682
Tristan Thompson,W,7.40692,18.5026
Iman Shumpert,W,27.85838,42.50966
Iman Shumpert,W,15.67565,44.52158
James Jones,W,12.74676,46.34332
LeBron James,W,7.91932,21.07294
Timofey Mozgov,W,8.88444,29.52356
Timofey Mozgov,W,13.39302,10.56253
Joe Harris,W,23.75018,40.96022
Kendrick Perkins,W,7.55146,48.08791
Tristan Thompson,W,9.37335,25.90784
Tristan Thompson,W,3.75605,48.00982
Tristan Thompson,W,6.27114,29.27358
Tristan Thompson,W,6.64389,15.73951
Tristan Thompson,W,12.5644,23.154
Tristan Thompson,W,5.35537,22.55667
Kendrick Perkins,W,14.69678,26.49932
Tristan Thompson,W,22.23812,44.38734
Kendrick Perkins,W,13.51992,27.54571
J.R. Smith,W,20.03336,44.49825
Tristan Thompson,W,15.76644,12.73657
Matthew Dellavedova,W,11.81883,32.69216
Kyrie Irving,W,3.88253,8.22445
Tristan Thompson,W,8.51447,21.62842
Iman Shumpert,W,7.6748,48.51201
Timofey Mozgov,W,6.97936,24.39665
Kevin Love,W,16.41645,47.6281
Timofey Mozgov,W,10.40085,30.57054
Tristan Thompson,W,19.32647,46.36827
LeBron James,W,6.83006,28.16908
Kendrick Perkins,W,7.71329,18.72068
Iman Shumpert,L,8.18704,26.47426
Matthew Dellavedova,L,24.80825,40.38021
Tristan Thompson,L,8.27116,16.76655
